Genome,K-group
Inmanicoccus mediterranei RCC307,0
Inmanicoccus sp. TMED19,0
Lacustricoccus lacustris TousA,0
Lacustricoccus lacustris TousB,0
Magnicoccus indicus CB0205,0
Magnicoccus indicus XM-24,0
Magnicoccus sudiatlanticus CB0101,0
Pseudosynechococcus benguelii CC9311,0
Pseudosynechococcus equatorialis RS9917,0
Pseudosynechococcus gyrus RS9916,0
Pseudosynechococcus pacificus WH 7803,0
Pseudosynechococcus sp. BS55D,0
Pseudosynechococcus sp. BS56D,0
Pseudosynechococcus sp. GEYO,0
Pseudosynechococcus sp. MED-G135,0
Pseudosynechococcus sp. MED-G68,0
Pseudosynechococcus sp. MIT S9504,0
Pseudosynechococcus sp. MIT S9508,0
Pseudosynechococcus sp. MIT S9509,0
Pseudosynechococcus sp. NAT40,0
Pseudosynechococcus sp. NP17,0
Pseudosynechococcus sp. UW105,0
Pseudosynechococcus sp. UW140,0
Pseudosynechococcus sp. UW179A,0
Pseudosynechococcus sp. WH 8020,0
Pseudosynechococcus sp. WH 8101,0
Pseudosynechococcus subtropicalis WH 7805,0
Pseudosynechococcus sudipacificus UW179B,0
Pseudosynechococcus sudipacificus WH 8016,0
Regnicoccus antarcticus WH 5701,0
Regnicoccus sp. 1G10,0
Regnicoccus sp. 8F6,0
Regnicoccus sp. Ace-Pa,0
Regnicoccus sp. BO 8801,0
Regnicoccus sp. MW101C3,0
Regnicoccus sp. SynAce01,0
Leptococcus springii JA-2-3-Ba,1
Leptococcus yellowstonii 60AY4M2,1
Leptococcus yellowstonii 63AY4M1,1
Leptococcus yellowstonii 63AY4M2,1
Leptococcus yellowstonii 65AY640,1
Leptococcus yellowstonii 65AY6A5,1
Leptococcus yellowstonii 65AY6Li,1
Leptococcus yellowstonii JA-3-3Ab,1
Enugrolinea Euryhalinus PCC 11901,2
Enugrolinea euryhalinus BDU 130192,2
Enugrolinea euryhalinus NKBG042902,2
Enugrolinea euryhalinus OG1,2
Enugrolinea euryhalinus PCC 7002,2
Enugrolinea euryhalinus PCC 7117,2
Enugrolinea euryhalinus PCC 73109,2
Enugrolinea euryhalinus PCC 8807,2
Enugrolinea euryhalinus PCC_7002,2
Enugrolinea sp. NIES-970,2
Enugrolinea sp. NKBG15041c,2
Enugrolinea sp. PCC 7003,2
Synechospongium sp. SB0662_bin_14,3
Synechospongium sp. SB0666_bin_14,3
Synechospongium sp. SB0667_bin_8,3
Synechospongium sp. SB0668_bin_13,3
Synechospongium sp. SB0668_bin_15,3
Synechospongium sp. SB0675_bin_6,3
Synechospongium sp. SB0675_bin_7,3
Synechospongium sp. SB0677_bin_5,3
Synechospongium sp. SP3,3
Parasynechococcus africanus CC9605,4
Parasynechococcus chilensis CC9902,4
Parasynechococcus marearabicus WH 8109,4
Parasynechococcus marenigrum WH 8102,4
Parasynechococcus marenigrum WH 8103,4
Parasynechococcus marenigrum YX04-3,4
Parasynechococcus nordiatlanticus BL107,4
Parasynechococcus sp. CC9616,4
Parasynechococcus sp. KORDI-100,4
Parasynechococcus sp. KORDI-49,4
Parasynechococcus sp. KORDI-52,4
Parasynechococcus sp. N19,4
Parasynechococcus sp. N26,4
Parasynechococcus sp. N32,4
Parasynechococcus sp. N5,4
Parasynechococcus sp. REDSEA-S01_B1,4
Parasynechococcus sp. REDSEA-S02_B4,4
Parasynechococcus sp. UW106,4
Parasynechococcus sp. UW69,4
Parasynechococcus sp. UW86,4
Synechococcus elongatus PCC 6301,5
Synechococcus elongatus PCC 7942,5
Synechococcus elongatus UTEX 2973,5
Synechococcus elongatus UTEX 3055,5
Synechococcus sp. PCC 11801,5
Thermosynechococcus elongatus PKUAC-SCTE542,6
Thermosynechococcus sp. CL-1,6
Thermosynechococcus sp. NK55a,6
Thermosynechococcus sp. PCC 6715,6
Thermosynechococcus vulcanus BP-1,6
Thermosynechococcus vulcanus NIES-2134,6
