Genome,K-group
Synechospongium sp. SB0662_bin_14,0
Synechospongium sp. SB0666_bin_14,0
Synechospongium sp. SB0667_bin_8,0
Synechospongium sp. SB0668_bin_13,0
Synechospongium sp. SB0668_bin_15,0
Synechospongium sp. SB0675_bin_6,0
Synechospongium sp. SB0675_bin_7,0
Synechospongium sp. SB0677_bin_5,0
Synechospongium sp. SP3,0
Inmanicoccus mediterranei RCC307,1
Lacustricoccus lacustris TousA,1
Lacustricoccus lacustris TousB,1
Magnicoccus indicus CB0205,1
Magnicoccus sudiatlanticus CB0101,1
Pseudosynechococcus equatorialis RS9917,1
Pseudosynechococcus sp. WH 8101,1
Enugrolinea Euryhalinus PCC 11901,2
Enugrolinea euryhalinus BDU 130192,2
Enugrolinea euryhalinus NKBG042902,2
Enugrolinea euryhalinus OG1,2
Enugrolinea euryhalinus PCC 7002,2
Enugrolinea euryhalinus PCC 7117,2
Enugrolinea euryhalinus PCC 73109,2
Enugrolinea euryhalinus PCC 8807,2
Enugrolinea euryhalinus PCC_7002,2
Enugrolinea sp. NIES-970,2
Enugrolinea sp. NKBG15041c,2
Enugrolinea sp. PCC 7003,2
Thermosynechococcus elongatus PKUAC-SCTE542,3
Thermosynechococcus sp. CL-1,3
Thermosynechococcus sp. NK55a,3
Thermosynechococcus sp. PCC 6715,3
Thermosynechococcus vulcanus BP-1,3
Thermosynechococcus vulcanus NIES-2134,3
Parasynechococcus africanus CC9605,4
Parasynechococcus chilensis CC9902,4
Parasynechococcus marearabicus WH 8109,4
Parasynechococcus marenigrum WH 8102,4
Parasynechococcus marenigrum WH 8103,4
Parasynechococcus marenigrum YX04-3,4
Parasynechococcus nordiatlanticus BL107,4
Parasynechococcus sp. CC9616,4
Parasynechococcus sp. KORDI-100,4
Parasynechococcus sp. KORDI-49,4
Parasynechococcus sp. KORDI-52,4
Parasynechococcus sp. N19,4
Parasynechococcus sp. N26,4
Parasynechococcus sp. N32,4
Parasynechococcus sp. N5,4
Parasynechococcus sp. REDSEA-S01_B1,4
Parasynechococcus sp. REDSEA-S02_B4,4
Parasynechococcus sp. UW106,4
Parasynechococcus sp. UW69,4
Parasynechococcus sp. UW86,4
Pseudosynechococcus sp. MED-G68,4
Leptococcus springii JA-2-3-Ba,5
Leptococcus yellowstonii 60AY4M2,5
Leptococcus yellowstonii 63AY4M1,5
Leptococcus yellowstonii 63AY4M2,5
Leptococcus yellowstonii 65AY640,5
Leptococcus yellowstonii 65AY6A5,5
Leptococcus yellowstonii 65AY6Li,5
Leptococcus yellowstonii JA-3-3Ab,5
Regnicoccus antarcticus WH 5701,6
Regnicoccus sp. 1G10,6
Regnicoccus sp. 8F6,6
Regnicoccus sp. Ace-Pa,6
Regnicoccus sp. BO 8801,6
Regnicoccus sp. MW101C3,6
Regnicoccus sp. SynAce01,6
Inmanicoccus sp. TMED19,7
Magnicoccus indicus XM-24,7
Pseudosynechococcus benguelii CC9311,7
Pseudosynechococcus gyrus RS9916,7
Pseudosynechococcus pacificus WH 7803,7
Pseudosynechococcus sp. BS55D,7
Pseudosynechococcus sp. BS56D,7
Pseudosynechococcus sp. GEYO,7
Pseudosynechococcus sp. MED-G135,7
Pseudosynechococcus sp. MIT S9504,7
Pseudosynechococcus sp. MIT S9508,7
Pseudosynechococcus sp. MIT S9509,7
Pseudosynechococcus sp. NAT40,7
Pseudosynechococcus sp. NP17,7
Pseudosynechococcus sp. UW105,7
Pseudosynechococcus sp. UW140,7
Pseudosynechococcus sp. UW179A,7
Pseudosynechococcus sp. WH 8020,7
Pseudosynechococcus subtropicalis WH 7805,7
Pseudosynechococcus sudipacificus UW179B,7
Pseudosynechococcus sudipacificus WH 8016,7
Synechococcus elongatus PCC 6301,8
Synechococcus elongatus PCC 7942,8
Synechococcus elongatus UTEX 2973,8
Synechococcus elongatus UTEX 3055,8
Synechococcus sp. PCC 11801,8
